cascade_id,cascade_name,region,transmission_channel,bound_open_indicator,custodian,resolution_key
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",food security,FAO cereal-import dependency ratio,FAO,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",food security,Pollination-dependent crop share (IPBES 2016),IPBES,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",livelihoods,Share of employment in nature-dependent sectors,ILO,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",livelihoods,Swiss Re BES fragility,Swiss Re,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",state fragility,Channel-side leading indicator (see methods.md sec 2),,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",State of nature (upstream),Biodiversity Intactness Index,NHM,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",State of nature (upstream),IUCN Red List of Ecosystems status,IUCN,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-01,2007-2008 global food price crisis and food riots,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)",Overall vulnerability,ND-GAIN country vulnerability and readiness,Notre Dame,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)"
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,food security,FAO cereal-import dependency ratio,FAO,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,food security,Pollination-dependent crop share (IPBES 2016),IPBES,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,livelihoods,Share of employment in nature-dependent sectors,ILO,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,livelihoods,Swiss Re BES fragility,Swiss Re,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,violent unrest,Channel-side leading indicator (see methods.md sec 2),,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,State of nature (upstream),Biodiversity Intactness Index,NHM,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,State of nature (upstream),IUCN Red List of Ecosystems status,IUCN,Middle East and North Africa
NSR-02,2010-2011 food price spike and MENA unrest,Middle East and North Africa,Overall vulnerability,ND-GAIN country vulnerability and readiness,Notre Dame,Middle East and North Africa
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),food security,FAO cereal-import dependency ratio,FAO,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),food security,Pollination-dependent crop share (IPBES 2016),IPBES,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),water security,WRI Aqueduct baseline water stress,WRI,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),water security,Transboundary basin dependency,WRI,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),human mobility,Channel-side leading indicator (see methods.md sec 2),,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),State of nature (upstream),Biodiversity Intactness Index,NHM,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),State of nature (upstream),IUCN Red List of Ecosystems status,IUCN,Syria (Fertile Crescent)
NSR-03,2006-2011 Syria drought displacement and civil war,Syria (Fertile Crescent),Overall vulnerability,ND-GAIN country vulnerability and readiness,Notre Dame,Syria (Fertile Crescent)
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",livelihoods,Share of employment in nature-dependent sectors,ILO,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",livelihoods,Swiss Re BES fragility,Swiss Re,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",food security,FAO cereal-import dependency ratio,FAO,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",food security,Pollination-dependent crop share (IPBES 2016),IPBES,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",state fragility,Channel-side leading indicator (see methods.md sec 2),,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",violent conflict,Channel-side leading indicator (see methods.md sec 2),,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",State of nature (upstream),Biodiversity Intactness Index,NHM,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",State of nature (upstream),IUCN Red List of Ecosystems status,IUCN,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)",Overall vulnerability,ND-GAIN country vulnerability and readiness,Notre Dame,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)"
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,Somalia (Horn of Africa),food security,FAO cereal-import dependency ratio,FAO,Somalia (Horn of Africa)
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,Somalia (Horn of Africa),food security,Pollination-dependent crop share (IPBES 2016),IPBES,Somalia (Horn of Africa)
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,Somalia (Horn of Africa),humanitarian emergency,Channel-side leading indicator (see methods.md sec 2),,Somalia (Horn of Africa)
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,Somalia (Horn of Africa),conflict,Channel-side leading indicator (see methods.md sec 2),,Somalia (Horn of Africa)
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,Somalia (Horn of Africa),State of nature (upstream),Biodiversity Intactness Index,NHM,Somalia (Horn of Africa)
