id,name,period,region,drivers,ecosystem_service_lost,transmission_channels,security_outcome,strategic_ecosystem,confidence,contested,intervention_point,key_sources
NSR-01,2007-2008 global food price crisis and food riots,2007-2008,"30+ countries (Haiti, Egypt, Cameroon, Bangladesh)","crop shortfalls; oil price; biofuel demand; export bans","provisioning: staple crop supply stability","food security; livelihoods; state fragility","food riots; government instability (Haiti PM removed)",,Moderate-High,No,"strategic grain reserves; export-ban coordination; social protection","FAO Food Price Index; von Braun/IFPRI 2008"
NSR-02,2010-2011 food price spike and MENA unrest,2010-2011,"Middle East and North Africa","Russian 2010 heatwave and wildfires; wheat export ban; multi-breadbasket shock","provisioning: cereal supply","food security; livelihoods; violent unrest","protest waves; political instability (Arab Spring context)",,Moderate,Yes,"price-threshold early warning; import buffering; trade policy","Lagi/Bertrand/Bar-Yam 2011 (arXiv:1108.2455); FAO"
NSR-03,2006-2011 Syria drought displacement and civil war,2006-2011,"Syria (Fertile Crescent)","multi-year drought; groundwater over-abstraction; anthropogenic drying","provisioning: rain-fed and irrigated agriculture","food security; water security; human mobility","rural-urban displacement; contributory factor to civil war","Himalayan/Fertile Crescent water systems",Low-Moderate,Yes,"agricultural water reform; drought insurance; rural livelihoods","Kelley et al 2015 (PNAS) AND rebuttal Selby et al 2017 (Political Geography)"
NSR-04,Lake Chad Basin degradation and Boko Haram fragility,1990s-present,"Lake Chad Basin (Nigeria, Niger, Chad, Cameroon)","lake variability and overuse; land degradation; governance failure","provisioning and regulating: fisheries, grazing, freshwater","livelihoods; food security; state fragility; violent conflict","insurgency dynamics; forced displacement",,Moderate,Yes,"conflict-sensitive resource governance; livelihood restoration","adelphi 'Shoring up Stability' 2019; UNEP"
NSR-05,2011-2012 Somalia famine and Al-Shabaab exploitation,2011-2012,"Somalia (Horn of Africa)","drought; rangeland degradation; conflict-driven access denial","provisioning: pastoral and crop production","food security; humanitarian emergency; conflict","~260,000 deaths; aid obstruction; instability",,High,No,"early famine declaration; humanitarian access; anticipatory action","FEWS NET; FSNAU/FAO 2013"
NSR-06,2019-2022 East Africa desert locust upsurge,2019-2022,"Ethiopia, Kenya, Somalia, Horn of Africa","Indian Ocean Dipole anomaly; degraded rangeland; delayed control","provisioning: crops and pasture","food security; livelihoods","regional food insecurity for millions",,High,No,"regional surveillance and early control (FAO DLCO); anticipatory finance","FAO Desert Locust Watch 2020-2022"
NSR-07,Somali marine collapse illegal fishing and piracy,2005-2012,"Gulf of Aden and western Indian Ocean","fisheries decline; IUU foreign fishing; absent coastguard","provisioning: coastal fisheries","livelihoods; maritime security","piracy surge; global shipping disruption and cost",,Moderate,Yes,"coastal fisheries protection; maritime governance; alternative livelihoods","UNEP; academic literature on Somali piracy roots"
NSR-08,Grand Ethiopian Renaissance Dam Nile water tension,2011-present,"Nile Basin (Egypt, Ethiopia, Sudan)","upstream water infrastructure; freshwater allocation contest","provisioning: freshwater flow","water security; interstate/transboundary tension","diplomatic and security friction (no armed conflict)","Himalayan-analogue river systems",High,No,"transboundary water treaties; benefit-sharing; joint monitoring","UN and basin-authority records; peer literature"
NSR-09,COVID-19 and zoonotic spillover from land-use change,2019-2022,"Global (origin land-use interfaces)","biodiversity loss; land-use change; wildlife trade","regulating: disease regulation and host balance","human health and biosecurity; economic shock; strategic disruption","pandemic as systemic national-security event",,High,No,"One Health surveillance; land-use and wildlife-trade regulation","IPBES Pandemics Workshop 2020 (Daszak et al); Jones 2008; Gibb 2020"
NSR-10,Global pollinator decline and food-production risk,ongoing,"Global","pollinator loss; habitat conversion; pesticides","regulating: pollination","food security; economic exposure","latent food-system vulnerability (USD 235-577bn output at risk)",,High,No,"pollinator habitat; integrated pest management; crop diversification","IPBES Pollinators Assessment 2016"
NSR-11,Amazon dieback tipping-point and hydrological risk,ongoing,"Amazon basin (South America)","deforestation; climate stress; resilience loss","regulating: moisture recycling and carbon","water/agriculture (regional rainfall); climate feedback","strategic-ecosystem collapse pathway; cross-border impact","Amazon rainforest",High,No,"deforestation halt; restoration; resilience monitoring (EWS)","Boulton/Lenton/Boers 2022 (Nat Clim Change); Global Tipping Points 2023"
NSR-12,AMOC weakening and North-West Europe climate security,ongoing,"North Atlantic and NW Europe","freshwater and heat forcing; ocean-circulation change","regulating: climate and ocean-heat distribution","food security; water security; strategic climate shift","high-impact European agriculture and climate risk (timing uncertain)","boreal and North Atlantic systems",Low-Moderate,Yes,"emissions mitigation; ocean monitoring; scenario planning","Global Tipping Points 2023; Ditlevsen and Ditlevsen 2023 (Nat Commun, contested)"
NSR-13,Sahel land degradation and farmer-herder conflict,ongoing,"Sahel (Nigeria middle belt, Mali, Niger)","desertification; rangeland and water loss; governance","provisioning: arable and grazing land","livelihoods; resource competition; violent conflict","communal conflict; thousands of deaths; displacement",,Moderate,Yes,"resource-sharing institutions; land tenure; pastoral corridors","International Crisis Group; peer literature; UNEP"
NSR-14,SE Asian coral reef and mangrove loss and coastal insecurity,ongoing,"South-East Asia (Coral Triangle)","warming and bleaching; overfishing; mangrove clearance","provisioning and regulating: fisheries and coastal protection","food security; livelihoods; coastal exposure","food and livelihood risk for coastal states; storm exposure","SE Asian coral reefs and mangroves",High,No,"marine protected areas; mangrove restoration; sustainable fisheries","IPBES; UK Nature Security Assessment 2026"
